epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,37277,0.77616,0.42149,0.8992,0.92302,0.90793,0.94964,0.7602,0.91477,0.80691,0.90462,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,38404.5,0.77208,0.41922,0.89719,0.93251,0.91828,0.95553,0.76341,0.91145,0.81416,0.90111,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,39536.1,0.77043,0.42042,0.89695,0.94499,0.90761,0.95621,0.76283,0.91616,0.81268,0.9034,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,40632.3,0.77111,0.41638,0.89711,0.93961,0.91278,0.95969,0.76606,0.91217,0.81156,0.90244,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,41733.9,0.76862,0.41451,0.89541,0.93244,0.91861,0.95587,0.76379,0.92209,0.81515,0.90298,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,42838.2,0.76447,0.40873,0.89364,0.93949,0.91116,0.95452,0.76543,0.90773,0.81023,0.89783,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,43946.8,0.76195,0.41092,0.89564,0.93427,0.91793,0.95495,0.76328,0.90073,0.80028,0.89801,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,45046.5,0.76275,0.40817,0.89474,0.93858,0.91446,0.95623,0.76137,0.90706,0.80613,0.9011,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,46149.5,0.76202,0.40596,0.89343,0.9481,0.89929,0.95698,0.76341,0.90226,0.80375,0.89927,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,47252.3,0.75959,0.40443,0.89292,0.94509,0.90702,0.96261,0.76726,0.90366,0.79936,0.89828,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,48348.4,0.75711,0.40226,0.89138,0.94167,0.90806,0.9629,0.76889,0.90539,0.82143,0.90006,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,49444.1,0.75536,0.40044,0.8908,0.9351,0.91586,0.95876,0.76561,0.90359,0.80382,0.89967,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,50537.8,0.75287,0.39861,0.89159,0.93414,0.91431,0.95832,0.76662,0.90354,0.79916,0.90117,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,51635.6,0.75256,0.39722,0.8906,0.93807,0.91246,0.95795,0.76678,0.90325,0.79957,0.90069,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,52731.4,0.74983,0.39613,0.89027,0.94214,0.91132,0.95638,0.76713,0.9023,0.81114,0.90109,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,53824.6,0.7489,0.39419,0.89012,0.93488,0.91593,0.95576,0.76599,0.89929,0.82413,0.8995,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
